"item","faixa","categoria","observado","esperado","proporcao_observada","proporcao_esperada"
"Item_9","12","1",160,159.882221620844,0.0533333333333333,0.0532940738736147
"Item_9","13","1",179,173.176278163296,0.0596666666666667,0.0577254260544321
"Item_9","14","1",187,177.439156496774,0.0623333333333333,0.0591463854989247
"Item_9","15","1",181,185.246233794495,0.0603333333333333,0.0617487445981651
"Item_9","16","1",134,136.279040249914,0.0446666666666667,0.0454263467499713
"Item_9","17","1",98,103.265489107997,0.0326666666666667,0.0344218297026655
"Item_9","18","1",75,71.7190075935757,0.025,0.0239063358645252
"Item_10","4","0",16,16.4168939106533,0.00533333333333333,0.00547229797021776
"Item_10","5","0",18,17.6392306801175,0.006,0.00587974356003918
"Item_10","6","0",40,44.6075188339686,0.0133333333333333,0.0148691729446562
"Item_10","7","0",87,83.2743407443605,0.029,0.0277581135814535
"Item_10","8","0",134,135.426487533998,0.0446666666666667,0.0451421625113327
"Item_10","9","0",194,191.953673547756,0.0646666666666667,0.0639845578492521
"Item_10","10","0",213,204.7962753291,0.071,0.0682654251096999
"Item_10","11","0",223,240.491796645647,0.0743333333333333,0.0801639322152155
"Item_10","12","0",269,268.569627210715,0.0896666666666667,0.0895232090702383
"Item_10","13","0",233,225.724051409419,0.0776666666666667,0.0752413504698062
"Item_10","14","0",180,175.842161464204,0.06,0.0586140538214015
"Item_10","15","0",141,135.7492342018,0.047,0.0452497447339332
"Item_10","16","0",67,70.8387101598725,0.0223333333333333,0.0236129033866242
"Item_10","17","0",33,35.5406501348525,0.011,0.0118468833782842
"Item_10","18","0",12,11.3022807228039,0.004,0.0037674269076013
"Item_10","19","0",0,1.30824812252555,0,0.000436082707508517
"Item_10","4","1",2,1.58310608934672,0.000666666666666667,0.000527702029782239
"Item_10","5","1",2,2.36076931988247,0.000666666666666667,0.000786923106627489
"Item_10","6","1",12,7.39248116603134,0.004,0.00246416038867711
"Item_10","7","1",13,16.7256592556397,0.00433333333333333,0.00557521975187989
"Item_10","8","1",34,32.5735124660019,0.0113333333333333,0.0108578374886673
"Item_10","9","1",53,55.046326452244,0.0176666666666667,0.0183487754840813
"Item_10","10","1",62,70.2037246708999,0.0206666666666667,0.0234012415569666
"Item_10","11","1",117,99.5082033543532,0.039,0.0331694011181177
"Item_10","12","1",136,136.430372789285,0.0453333333333333,0.0454767909297617
"Item_10","13","1",137,144.275948590581,0.0456666666666667,0.048091982863527
"Item_10","14","1",142,146.157838535795,0.0473333333333333,0.0487192795119318
"Item_10","15","1",148,153.2507657982,0.0493333333333333,0.0510835885994
"Item_10","16","1",119,115.161289840127,0.0396666666666667,0.0383870966133758
