"item","testlet","parametro","verdadeiro","estimativa","erro_padrao","ic95_inferior","ic95_superior"
"Item_7",1,"c",0.24,0.22365450272336,0.0801865003010346,0.104365141518845,0.415966578174045
"Item_8",0,"a",1.15,0.848627881220786,0.103486646455774,0.645797781286641,1.05145798115493
"Item_8",0,"b",0.5,0.218261210635767,0.183520162058699,-0.141431697436237,0.577954118707771
"Item_8",0,"c",0.23,0.131381735046504,0.0556126110484037,0.05499668486785,0.282179168493539
"Item_9",0,"a",1.2,1.02337447524921,0.17591356678402,0.678590219960554,1.36815873053787
"Item_9",0,"b",1,0.847520407675813,0.14825712107924,0.556941789908909,1.13809902544272
"Item_9",0,"c",0.22,0.163632216766225,0.050437863518901,0.0867656178933899,0.28718156111272
"Item_10",0,"a",1.15,0.962157230209771,0.260071684710419,0.452426094778695,1.47188836564085
"Item_10",0,"b",1.5,1.62375859929634,0.164199443579058,1.30193360359987,1.94558359499281
"Item_10",0,"c",0.21,0.214963603100114,0.0481402342461589,0.135359817551925,0.323847522359004
"Item_11",0,"a",1.1,0.82813458014606,0.183438633506315,0.46860146510044,1.18766769519168
"Item_11",0,"b",2,1.96844469835496,0.196784876386042,1.58275342793615,2.35413596877377
"Item_11",0,"c",0.2,0.13602154892099,0.0388532260485732,0.0760885173494988,0.231341803262357
"Item_12",0,"a",1.05,0.948489107018279,0.307879251742811,0.345056862015228,1.55192135202133
"Item_12",0,"b",2.5,2.34645115414177,0.285935290525584,1.78602828280263,2.90687402548091
"Item_12",0,"c",0.2,0.175573286379542,0.0364448370245409,0.115054888523685,0.258621228477923
"Item_13",0,"a",1,0.669463162493413,0.296269386078003,0.0887858360587355,1.25014048892809
"Item_13",0,"b",3,3.62257394008586,0.828194907170436,1.99934174985231,5.24580613031941
"Item_13",0,"c",0.21,0.182481231732132,0.0385209571348272,0.118603849128232,0.270214450001239
"Item_14",0,"a",0.95,0.992591013793691,0.108761579978819,0.779422234133533,1.20575979345385
"Item_14",0,"b",-2,-2.0312515285581,0.292511642334381,-2.60456381259215,-1.45793924452405
"Item_14",0,"c",0.22,0.205000874265805,0.108715051709329,0.0652076508385924,0.488025807392806
"Item_15",0,"a",0.9,0.82102029965578,0.0965473063550281,0.63179105639557,1.01024954291599
"Item_15",0,"b",-1,-1.1313844043461,0.317264637477416,-1.75321166736999,-0.509557141322209
"Item_15",0,"c",0.23,0.193537196781565,0.0971910229326031,0.0661337878392636,0.448502588487548
"Item_16",0,"a",0.85,0.877200145060588,0.116451495284067,0.648959408357981,1.10544088176319
"Item_16",0,"b",0,-0.230265819638592,0.256100701609783,-0.732213971209206,0.271682331932022
"Item_16",0,"c",0.24,0.175133728626456,0.0786570275386941,0.0680625747590217,0.381660853524707
"Item_17",0,"a",0.8,0.859856857176198,0.296298634906161,0.279122204091739,1.44059151026066
"Item_17",0,"b",1,1.26360218316095,0.26885639950602,0.736653323116035,1.79055104320586
"Item_17",0,"c",0.25,0.326168895656679,0.0768725488348986,0.196061707694119,0.489992524056728
"Item_18",0,"a",0.8,0.723430030652378,0.184732493355179,0.361360996901944,1.08549906440281
"Item_18",0,"b",2,1.79419108756997,0.220229957573209,1.3625483024097,2.22583387273024
"Item_18",0,"c",0.2,0.159506599134064,0.0577534620613556,0.0754221947299964,0.306279300423799
"Item_19",0,"a",1,0.861683912675619,0.123030056070299,0.620549433761889,1.10281839158935
"Item_19",0,"b",-0.5,-0.58664543174167,0.343593941224687,-1.26007718184823,0.0867863183648889
"Item_19",0,"c",0.22,0.209190287204647,0.103099316640545,0.0723389075625171,0.47294599769593
"Item_20",0,"a",1.2,1.02067429616162,0.196403764439865,0.635729991431392,1.40561860089184
"Item_20",0,"b",0.5,0.418748866114352,0.228860043121242,-0.0298085759035664,0.86730630813227
"Item_20",0,"c",0.25,0.223401704401617,0.0732619288369722,0.111689800264762,0.396921750640793
