"item","parametro","verdadeiro","estimativa","erro_padrao","ic95_inferior","ic95_superior"
7,"b2",-1.85,-1.64980747288989,0.132491339909185,-1.90948572737535,-1.39012921840444
8,"b2",-1.6,-1.64087029921506,0.135998903125054,-1.90742325127712,-1.374317347153
9,"b2",-1.5,-1.41176068627617,0.120938565888926,-1.64879591976039,-1.17472545279195
10,"b2",-1.25,-1.06303023911342,0.0913674601806093,-1.24210717042631,-0.883953307800531
11,"b2",-0.95,-1.06841681129532,0.0975005341550699,-1.25951434671268,-0.87731927587797
12,"b2",-0.7,-0.460456580843192,0.0708684561818203,-0.599356202599515,-0.32155695908687
13,"b2",-0.4,-0.297999886863148,0.0769517113629935,-0.448822469683337,-0.147177304042959
14,"b2",-0.3,-0.325426477978224,0.0661343281478732,-0.455047379289809,-0.195805576666639
15,"b2",-0.15,-0.109794210953813,0.0694912575224242,-0.245994572938162,0.0264061510305369
16,"b2",0,-0.0843959746102655,0.0917692167565944,-0.26426033434264,0.0954683851221092
17,"b2",0.3,0.34691994376815,0.0873232936197246,0.175769433262074,0.518070454274227
18,"b2",0.5,0.549771611682165,0.0998098410956361,0.354147917832052,0.745395305532277
19,"b2",0.6,0.528347266872408,0.0870475640174419,0.357737176456277,0.698957357288539
20,"b2",0.75,0.909172054185039,0.115196401912323,0.683391255288284,1.13495285308179
21,"b2",0.95,0.873272515817409,0.0957320565389397,0.685641132835135,1.06090389879968
22,"b2",-3,-2.8037595439218,0.287180751466217,-3.36662347384873,-2.24089561399487
23,"b2",1.2,1.13585400019124,0.111156987891425,0.917990307294094,1.35371769308839
24,"b2",-1.4,-1.60479323456177,0.138340612610387,-1.87593585287733,-1.3336506162462
25,"b2",-0.3,-0.445282928029808,0.0776677812620361,-0.597508982062533,-0.293056873997082
26,"b2",-2.25,-2.64406338475063,0.254962740138875,-3.14378117282247,-2.14434559667879
27,"b2",0.7,0.730490411045932,0.083982423825198,0.565887885014166,0.895092937077699
28,"b2",-0.95,-0.908929066096472,0.0922111789691926,-1.08965965584807,-0.728198476344877
29,"b2",-1.45,-1.61682862624123,0.127843449782365,-1.86739718347402,-1.36626006900845
30,"b2",-0.85,-0.845592304850728,0.0829021485456326,-1.00807753024116,-0.683107079460299
1,"b3",-2.8,-2.72580733174913,0.266111323176283,-3.24737594105295,-2.20423872244532
2,"b3",-2.3,-2.18735602184693,0.203976282832785,-2.58714218989954,-1.78756985379431
3,"b3",-1.9,-1.92384459200846,0.19864328604834,-2.3131782784339,-1.53451090558303
4,"b3",-1.6,-1.51768467434309,0.147897136701905,-1.80755773569542,-1.22781161299076
5,"b3",-1.45,-1.40709569790133,0.125878112422431,-1.65381226469118,-1.16037913111149
6,"b3",-1.35,-1.48343259556957,0.148107017349929,-1.77371701543308,-1.19314817570606
7,"b3",-1.15,-1.11858814705946,0.101589255131648,-1.31769942833374,-0.919476865785181
8,"b3",-0.9,-0.948385636575013,0.0963345705028341,-1.1371979252267,-0.759573347923323
9,"b3",-0.8,-0.789284072626267,0.0898765117542564,-0.9654387987207,-0.613129346531833
10,"b3",-0.55,-0.419857583131598,0.0712262848547572,-0.559458536199512,-0.280256630063683
11,"b3",-0.25,-0.396501386116821,0.0745963479860736,-0.542707541547743,-0.2502952306859
12,"b3",0,0.174804534069038,0.0676730621605927,0.0421677695107363,0.30744129862734
13,"b3",0.3,0.444207245614372,0.0812568791326348,0.284946689018283,0.60346780221046
14,"b3",0.4,0.410866361911548,0.0682141340588425,0.27716911591963,0.544563607903467
15,"b3",0.55,0.613456175413019,0.0781568636714686,0.460271537472334,0.766640813353704
16,"b3",0.7,0.674390378291204,0.108111514105857,0.462495704329631,0.886285052252777
17,"b3",1,1.05525280508095,0.115561757328466,0.828755922727001,1.2817496874349
18,"b3",1.2,1.30199726620313,0.140111477841054,1.02738381581399,1.57661071659228
19,"b3",1.3,1.1965016799164,0.11636848985259,0.968423630870006,1.42457972896279
